sabotage_type,sabotage_description
equipment,"cook with a different heat source (lamp, straightening iron, blowtorch)"
equipment,"cook with a different heat source (lamp, straightening iron, blowtorch)"
distraction,bike made margaritas
equipment,"cook with a different heat source (lamp, straightening iron, blowtorch)"
exclusivity,competitors cannot taste their food
exclusivity,competitors cannot taste their food
ingredients,"must use comfort food ingredients (OJ,honey,cough drops)"
ingredients,switch fish for anchovies
equipment,replace knives w/ fishing equipment
exclusivity,comptetiors cannot use salt
exclusivity,comptetiors cannot use salt
ingredients,must use mashed potatoes
ingredients,must use canned sloppy joes instead of proteins
equipment,must make skewers out of vegetables
equipment,must make their own fire as heat
ingredients,must incorporate cookie dough from cookie dough ice cream
ingredients,swap out chocolate for dispenser candy
ingredients,"fish options (sticks, tilapia, anchovies)"
ingredients,"different rice options (sushi, rice pudding, instant, fried rice)"
ingredients,"different rice options (sushi, rice pudding, instant, fried rice)"
equipment,shop without a basket
equipment,must cook on all in one breakfast sandwich maker
ingredients,replace tortillas from chips and lard
ingredients,replace all ingredients
equipment,replace cooking with bent pan
ingredients,replace flour with hand milled flour
ingredients,swap cheese (nachos) and protein (freeze dried beef)
ingredients,swap cheese (nachos) and protein (freeze dried beef)
equipment,"replace knives w/ clam shucker, hammer and screwdriver"
equipment,"replace knives w/ clam shucker, hammer and screwdriver"
ingredients,swap clams w/ goeduck
equipment,make ice cream in hand shaker
ingredients,replace milk/cream w/ coffee creamers
ingredients,swap out potatoes
ingredients,swap out potatoes
ingredients,swap out potatoes
equipment,cook from a camp stove
ingredients,swap out oranges with substitutes
ingredients,swap dairy with ice cream bars
ingredients,incorporate savory ingredients
ingredients,"swap wonton wrappers (honey,frozen,wonton soup)"
ingredients,"swap wonton wrappers (honey,frozen,wonton soup)"
ingredients,"swap wonton wrappers (honey,frozen,wonton soup)"
ingredients,must use durian
ingredients,replace peanut butter ingredients with self made/used peanut butter jars
ingredients,replace peanut butter ingredients with self made/used peanut butter jars
equipment,use tin foil for all tools
ingredients,must replace shrimp with shrimp from ice block
ingredients,replace citrus with lemon candy
ingredients,"replace eggs w/ shelless, ostrich egg, quail egg"
ingredients,"replace eggs w/ shelless, ostrich egg, quail egg"
ingredients,must make an additional sweet deviled egg
ingredients,"replace eggs w/ shelless, ostrich egg, quail egg"
equipment,force opponent to not use a waffle iron
equipment,competitors can't use fryer
equipment,competitors can't use fryer
ingredients,use oatmeal as crumble topping
ingredients,swap fruit for exotic fruits
ingredients,"swap tomato products bloody mary, tomato, ketchup"
ingredients,"swap tomato products bloody mary, tomato, ketchup"
ingredients,"swap tomato products bloody mary, tomato, ketchup"
equipment,replace pots and pans for mini pot
equipment,must share hand utensils
ingredients,replace fresh protein and vegetables with dried
equipment,must share hand utensils
equipment,must cook everything on a mini cook station
ingredients,replace fresh berries with berries from cereal dispenser
ingredients,replace potatoes with broken skins or peeled potatoes
ingredients,replace all non potatoes w/ new basket
ingredients,replace potatoes with broken skins or peeled potatoes
equipment,replace knifes w/ exacto knife
equipment,replace all utensils w/ chopsticks
equipment,must replace cooking water w/ water in coconuts
ingredients,replace baking ingredients w/ ingredients in cooking boxes
equipment,"give heat sources to opponents (broiler, microwave, fryer)"
ingredients,replace lettuce w/ shredded lettuce
equipment,"replace knives, utensils, hand tools"
equipment,"give heat sources to opponents (broiler, microwave, fryer)"
ingredients,replace clams or cream
ingredients,replace clams or cream
exclusivity,only chef to taste food
equipment,must replace hand tools w/ a mallet
ingredients,replace buns with soggy buns/pulverize hot dog meat
ingredients,replace buns with soggy buns/pulverize hot dog meat
ingredients,replace eggs w/ overcooked egg yolks/chocolate covered bacon
ingredients,replace eggs w/ overcooked egg yolks/chocolate covered bacon
equipment,replace equipment w/ chemistry set
ingredients,replace sugar w/ cotton candy
equipment,"replace heat w/ toaster,coffee maker,waffle iron"
equipment,"replace heat w/ toaster,coffee maker,waffle iron"
equipment,must share chef's knife w/ other opponents
equipment,"replace heat w/ toaster,coffee maker,waffle iron"
ingredients,harvest dough from leftover pizza
equipment,replace all heat w/ panini press
ingredients,replace tortillas w/ frozen enchiladas
equipment,replace pots
ingredients,swap opponent jalepenos
ingredients,swap opponent jalepenos
ingredients,swap opponent jalepenos
equipment,must replace utensils with a pastry cutter
ingredients,swap opponents dough ingredients
ingredients,swap opponents dough ingredients
equipment,swap heat source with iron/steamer
ingredients,swap ingredients for other B/L/T ingredients
ingredients,swap ingredients for other B/L/T ingredients
ingredients,swap ingredients for other B/L/T ingredients
equipment,replace cooking and mixing vessels w/ ramen bowls
equipment,replace cooking and mixing vessels w/ ramen bowls
ingredients,replace broth/stock w/ tea
distraction,must cook in a poofy souffle suit
ingredients,replace sugar with popping candy
equipment,force opponents to use different heat source
ingredients,force an opponent to use with bottom shelf ingredients
equipment,force opponents to use different heat source
equipment,force opponents to use different heat source
equipment,must cook everything in a vertical egg cooker
distraction,must cook the entire meal in bed
ingredients,replace all ingredients for fridge drawer
equipment,must use sheet pans as cooking vessel
distraction,must harvest pasta from a pasta picture of alton
