sabotage_type,sabotage_description,winning_bid,round
equipment,"cook with a different heat source (lamp, straightening iron, blowtorch)",6800.0,1
exlusivity,competitors cannot taste their food,10100.0,2
ingredients,switch fish for anchovies,1100.0,3
ingredients,must use mashed potatoes,2500.0,1
equipment,must make skewers out of vegetables,2000.0,2
ingredients,swap out chocolate for dispenser candy,3200.0,3
ingredients,must incorporate cookie dough from cookie dough ice cream,2500.0,3
equipment,shop without a basket,3800.0,1
ingredients,replace tortillas from chips and lard,3300.0,2
ingredients,replace flour with hand milled flour,4500.0,3
equipment,replace cooking with bent pan,4400.0,3
ingredients,swap cheese (nachos) and protein (freeze dried beef),6400.0,1
equipment,"replace knives w/ clam shucker, hammer and screwdriver",3200.0,2
ingredients,replace milk/cream w/ coffee creamers,7000.0,3
equipment,make ice cream in hand shaker,5000.0,3
ingredients,swap out potatoes,1500.0,1
ingredients,swap out oranges with substitutes,1100.0,2
ingredients,swap dairy with ice cream bars,2100.0,3
ingredients,"swap wonton wrappers (honey,frozen,wonton soup)",4000.0,1
ingredients,replace peanut butter ingredients with self made/used peanut butter jars,3900.0,2
ingredients,must replace shrimp with shrimp from ice block,3500.0,3
ingredients,"replace eggs w/ shelless, ostrich egg, quail egg",10000.0,1
equipment,force opponent to not use a waffle iron,2400.0,2
ingredients,swap fruit for exotic fruits,3800.0,3
ingredients,"swap tomato products bloody mary, tomato, ketchup",1600.0,1
equipment,must share hand utensils,3300.0,2
equipment,must cook everything on a mini cook station,5300.0,3
ingredients,replace potatoes with broken skins or peeled potatoes,2600.0,1
equipment,must replace cooking water w/ water in coconuts,4000.0,2
ingredients,replace baking ingredients w/ ingredients in cooking boxes,3100.0,3
equipment,"replace knives, utensils, hand tools",2500.0,1
ingredients,replace clams or cream,7100.0,2
equipment,must replace hand tools w/ a mallet,8100.0,3
ingredients,replace buns with soggy buns/pulverize hot dog meat,7600.0,1
ingredients,replace eggs w/ overcooked egg yolks/chocolate covered bacon,9000.0,2
ingredients,replace sugar w/ cotton candy,3600.0,3
equipment,"replace heat w/ toaster,coffee maker,waffle iron",11500.0,1
equipment,replace all heat w/ panini press,1000.0,2
equipment,replace pots,1700.0,3
ingredients,swap opponent jalepenos,700.0,1
ingredients,swap opponents dough ingredients,7900.0,2
equipment,swap heat source with iron/steamer,10200.0,3
ingredients,swap ingredients for other B/L/T ingredients,7000.0,1
equipment,replace cooking and mixing vessels w/ ramen bowls,11900.0,2
ingredients,replace sugar with popping candy,4000.0,3
ingredients,force an opponent to use with bottom shelf ingredients,2000.0,1
equipment,must cook everything in a vertical egg cooker,6000.0,2
